address,n_tx_cell_layer,shape_1_to_1_ratio,shape_1_to_n_ratio,shape_n_to_1_ratio,shape_n_to_n_ratio,topology_state,n_inputs_total,cell_lifetime_support_n,cell_lifetime_support_ratio,cell_lifetime_mean_s,cell_lifetime_median_s,cell_lifetime_cv,same_block_spend_ratio,lifecycle_state,lock_hash_known_ratio,n_distinct_lock_hashes,lock_family_primary,multisig_usage_ratio,lock_state,has_type_script_ratio,n_distinct_type_hashes,uses_since_ratio,since_support_n,repeated_since_value_ratio,since_state,unique_counterparties_out_cell,unique_counterparties_in_cell,reciprocity_ratio_cell,out_capacity_concentration_hhi_cell,out_capacity_entropy_cell,network_state,sent_capacity_ckb_cell,received_capacity_ckb_cell,net_capacity_delta_ckb_cell,n_cellbase_inputs_direct,touches_cellbase_directly
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2yul8wt2defw04dp37h0qanqrnmy5tu7qfnad37,14,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.42857142857142855,OK,13.0,13.0,1.0,4834880478.307693,99890267.0,1.7837280086625238,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.23529411764705882,1.0,0.0,13.0,,OK,3,8,0.2222222222222222,0.3404772957015667,0.9903662390360216,OK,766742418.0559733,921568713.3058909,154826295.24991763,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqvh96uwpjsghcyeuedp0wmt5k8nzc0gwjqfr5qu7,24,0.4583333333333333,0.0,0.0,0.5416666666666666,OK,46.0,35.0,0.7608695652173914,4756916883.114285,433878199.0,1.8858283127206952,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.35135135135135137,1.0,0.0,46.0,,OK,0,0,,,,OK,495231093.6363996,504334137.5495352,9103043.913135588,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqftd47h3v4gg75m5w3amn3t9f3jqwe4xgqg9r36q,3,0.0,0.3333333333333333,0.0,0.6666666666666666,OK,5.0,2.0,0.4,73057.0,73057.0,0.48897436248408777,0.0,INSUFFICIENT_EVIDENCE,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.5,1.0,0.0,5.0,,OK,0,0,,,,OK,111844804.05418704,111844804.0541486,-3.844499588012695e-05,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfvq4dqqh8vq032qx3lxaltkffqvxfe8ts4jur9h,1,0.0,0.0,0.0,1.0,OK,1.0,0.0,0.0,,,,,INSUFFICIENT_EVIDENCE,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,1.0,1.0,0.0,1.0,,INSUFFICIENT_EVIDENCE,1,1,0.0,1.0,,OK,126518248.0,126518248.0,0.0,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfju4w7mgnq2xl34rgmv7avnczycrkc9xqedr5fc,44,0.0,0.045454545454545456,0.0,0.9545454545454546,OK,25.0,18.0,0.72,16004475548.777779,11352007680.5,0.691704855303925,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,25.0,,OK,1,1,0.0,1.0,,OK,123960003.71885732,174960010.89134803,51000007.172490716,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqf2pf3uu524tn9umy7g3gchaa6sgamvs4sx454l6,1499,0.019346230820547032,0.037358238825883926,0.9152768512341561,0.028018679119412943,OK,170.0,170.0,1.0,108786785.6117647,58991393.5,1.2921451868563087,0.0,OK,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,0.0,170.0,,OK,38,82,0.02564102564102564,0.3543457448788403,0.4495830750356153,OK,1051344270.049714,1156278081.9122217,104933811.8625077,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdswxz9w93ffp2dkdr4gjgyw6akpd9ml2sc3j7ft,1,0.0,0.0,0.0,1.0,OK,,,,,,,,,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,,,,,0,2,0.0,,,OK,0.0,103915941.73858508,103915941.73858508,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgphyyw5jenumukdqqega4x0zwmvh0fnuqeh9e2g,1,0.0,1.0,0.0,0.0,OK,,,,,,,,,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,,,,,0,1,0.0,,,OK,0.0,299.999,299.999,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtq43kkkjp78arrz5dk9yazecfynnduu5qz9nfxd,1,0.0,0.0,0.0,1.0,OK,,,,,,,,,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,0.0,0.0,,,,,0,2,0.0,,,OK,0.0,101845826.36442776,101845826.36442776,0,False
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqtwuh9492rw529d223n4u36642lnadmxyc7f7u8l,1,0.0,0.0,0.0,1.0,OK,1.0,0.0,0.0,,,,,INSUFFICIENT_EVIDENCE,1.0,1,secp256k1_blake160_sighash_all,0.0,OK,1.0,1.0,0.0,1.0,,INSUFFICIENT_EVIDENCE,1,1,0.0,1.0,,OK,100689717.0,100689717.0,0.0,0,False
