address,candidate_pool,source_signal,explorer_url,top_archetype,top_score,is_scripted,cluster_label,touches_cellbase_directly,wallet_status,verified_label,verified_notes,verified_by,verified_date
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq29kqmgkuplk5r7j3h8tjdex4cruvfzkfcmnttus,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.90,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq29kqmgkuplk5r7j3h8tjdex4cruvfzkfcmnttus,IRREGULAR_ACTIVITY,0.9005033787606019,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqggs86408ja7nsgdh0lz0cxafua6u0pq5cmvsxuu,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.90,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqggs86408ja7nsgdh0lz0cxafua6u0pq5cmvsxuu,IRREGULAR_ACTIVITY,0.8979728570235649,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdw7svu2fzp5uqpu4xfupgkm4xw0zd79agr0jz8p,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.90,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdw7svu2fzp5uqpu4xfupgkm4xw0zd79agr0jz8p,IRREGULAR_ACTIVITY,0.8952724852120095,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqguzqmcp4wprkpawalhp3hqfu9ur2q2tps9lv2ge,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.88,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqguzqmcp4wprkpawalhp3hqfu9ur2q2tps9lv2ge,IRREGULAR_ACTIVITY,0.8841787984003879,False,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq03gy6qc59208692fxn2pa2pln3xwcwdxsc7p7te,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.88,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq03gy6qc59208692fxn2pa2pln3xwcwdxsc7p7te,IRREGULAR_ACTIVITY,0.8841615293359875,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq087uc2epsa0ft08zu747g30c6zuh2lyxcsqugmn,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.88,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq087uc2epsa0ft08zu747g30c6zuh2lyxcsqugmn,IRREGULAR_ACTIVITY,0.8825001649092448,False,low_out_hhi_cell+low_out_hhi,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdtejzc329up3s665cxswczse77neqxr2c6uk0jz,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.88,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdtejzc329up3s665cxswczse77neqxr2c6uk0jz,IRREGULAR_ACTIVITY,0.8793670452889064,False,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdfpcl42753m0xgau9yefhgfxukx83dwysy7tdl3,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.88,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdfpcl42753m0xgau9yefhgfxukx83dwysy7tdl3,IRREGULAR_ACTIVITY,0.8776566225277217,False,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfcls7pnlg5eausdqrj4k0jrlhm7zy3jrsjljh33,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.88,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfcls7pnlg5eausdqrj4k0jrlhm7zy3jrsjljh33,IRREGULAR_ACTIVITY,0.8761975578674421,False,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2e7teagdtnarf320ckuekrnpcdc4uzpdscj99tg,human_candidate,top_archetype=IRREGULAR_ACTIVITY score=0.72,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2e7teagdtnarf320ckuekrnpcdc4uzpdscj99tg,IRREGULAR_ACTIVITY,0.7179946765108638,False,high_in_counterparties_cell+high_in_counterparties,False,active,,,,
