cluster,membership_probability,representation,wallet
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqydhfg585sfcxu5gpaqs5sme8rn30c5yagaawuq2
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqygpfd4a3nnel8tg9ntkwayy9hx537qf4yyyg3v0
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyjw0y2p7ahcysl4qhq97x60svqn29492qpkvy2s
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyknjsdgjmz9a475mzuledqlm82yujj4vu8xllec
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqym5d4n465eu93tdcz5sycepdkatjahp9uwdcpfy
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqymvu6d289ggsyudpamr4g6ayz62gpp34qzy30vs
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqytevmf523qgwexunz0pf59ysl6dvxvvusuft43p
3,1.0,HIGH_CONFIDENCE_SCALED,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zq2jdhmvxjtkj8fx84gevn93j5eyc2xtgmg63glfg
3,1.0,HIGH_CONFIDENCE_SCALED,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqfd4pj6za0jzhxvsk960aw4ylu48hmrtjq8ec8zj
3,1.0,HIGH_CONFIDENCE_SCALED,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqfuh3ru2j5lmm6cl4tt7dqme28545t9yzsyhsyzg
3,1.0,HIGH_CONFIDENCE_SCALED,ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqgjydsp6tgswnf7rg5u2j2v20cvcm55dygutu3en
2,1.0,HIGH_CONFIDENCE_SCALED,ckb1qrlh3whq40ch67jqfs97p7ddnjgctvlc3hxxqsp5202m4rslyt6n5qh3068szf235yxw9c3px3rzgxkxnf2ynq7ys5kam9r42sn5a2x845q7rg9y
2,1.0,HIGH_CONFIDENCE_SCALED,ckb1qrlh3whq40ch67jqfs97p7ddnjgctvlc3hxxqsp5202m4rslyt6n5qn0ta0jq68jgwzvzpy82w8sugs9cvvza3fz0flwr67avv068nsst5uevzjl
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0259kv0x5jez6h0l5qr52k64weapapgyscsnmhn
4,1.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02lstf96jmmavf7uln9acpkedt2clz3tqc6chk8
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02rtsalknt9nezey405ay2gek8v5x0ncc3fd62k
1,1.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq03vvfm7dufx0a80zj27h4f5qjvygtelpshfz360
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq03z3ekhq3qhe4tz8v5kf3z08gxphswumg02rsqc
4,1.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq046dyalzv28h7wt8fqzhhskeedyh6fpugkydwwj
0,0.2059922283862903,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq04avg2cjv4t0vh2v7zuztvcctzy860fjs9esl5u
