aic,bic,components,converged,covariance_type,mean_assignment_entropy,minimum_component_size,representation
674.817685284859,1867.7180919971574,2,True,full,1.1677471295407816e-06,75,CELL_STRUCTURE_SCALED
-509.44517589781753,1281.4791814090372,3,True,full,0.001944612228344692,26,CELL_STRUCTURE_SCALED
-1000.560369021236,1388.3879388801747,4,True,full,0.0006563704916432665,4,CELL_STRUCTURE_SCALED
-1675.4238970581187,1311.5483614378477,5,True,full,0.0034159385863921244,3,CELL_STRUCTURE_SCALED
-3094.1874533183727,490.8087557721501,6,True,full,0.003890411531596811,3,CELL_STRUCTURE_SCALED
-3219.3132190052947,963.7069406797837,7,True,full,1.538358621651886e-05,3,CELL_STRUCTURE_SCALED
-2649.1776689627914,2131.8664413168435,8,True,full,0.0002235028701736715,3,CELL_STRUCTURE_SCALED
-3916.108060465286,1462.9600004089052,9,True,full,2.2466102473796455e-05,3,CELL_STRUCTURE_SCALED
-4830.621417067663,1146.4705944010839,10,True,full,0.0001461911744347034,3,CELL_STRUCTURE_SCALED
7722.335288147565,7835.645089312849,1,True,diag,0.0,172,CELL_STRUCTURE_SCALED
1869.408245023663,2099.175341831045,2,True,diag,1.993308737381738e-07,77,CELL_STRUCTURE_SCALED
516.804047602985,863.0284400524647,3,True,diag,0.003931683644157525,34,CELL_STRUCTURE_SCALED
-984.6040546798267,-521.9223665882491,4,True,diag,0.00017567596748579046,12,CELL_STRUCTURE_SCALED
-2067.670802416857,-1488.5318186831817,5,True,diag,0.0031761564982487533,5,CELL_STRUCTURE_SCALED
-1950.6548300693494,-1255.0585506935763,6,True,diag,0.0035364337651830405,3,CELL_STRUCTURE_SCALED
-1823.6491768648834,-1011.5956018470126,7,True,diag,0.007870305226214968,3,CELL_STRUCTURE_SCALED
-2082.095454452088,-1153.5845837921192,8,True,diag,0.008229736742944499,3,CELL_STRUCTURE_SCALED
-2168.0561318872,-1123.0879655851338,9,True,diag,0.057253717645595684,1,CELL_STRUCTURE_SCALED
-2815.088850734859,-1653.663388790695,10,True,diag,0.036076197699615495,3,CELL_STRUCTURE_SCALED
