address,wallet_status,segment,cluster_id,segment_confidence,n_tx_in_window,tx_per_window_day,tx_per_active_day,gap_mean_s,gap_cv,burstiness,hour_of_day_entropy,day_of_week_entropy,sent_total_ckb,received_total_ckb
ckb1qrgqep8saj8agswr30pls73hra28ry8jlnlc3ejzh3dl2ju7xxpjxqgqqyxaafkpxklf820ugttkjd0409k73djjhue0s8ej,active,Human-like / Daytime,0.0,1.0,44,0.0602739726027397,0.5503243665320098,160649.44186046513,1.8323204415388747,0.2938652100701759,0.8778478445641222,0.9871336321578644,2033.89856778,2842.23405311
ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zq2jdhmvxjtkj8fx84gevn93j5eyc2xtgmg63glfg,active,Human-like / Daytime,0.0,1.0,2,0.0027397260273972,2.0,,,,-0.0,-0.0,749.99999462,1500.0
ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqfd4pj6za0jzhxvsk960aw4ylu48hmrtjq8ec8zj,active,Human-like / Daytime,0.0,1.0,2,0.0027397260273972,2.0,,,,-0.0,-0.0,749.99999462,1500.0
ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqfuh3ru2j5lmm6cl4tt7dqme28545t9yzsyhsyzg,unused,Dormant / No Activity,,,0,0.0,,,,,,,0.0,0.0
ckb1qrj9k8u0yxllyvfhqddr4d636adnd2vpmmkru7pqr99ecppfvl60zqgjydsp6tgswnf7rg5u2j2v20cvcm55dygutu3en,unused,Dormant / No Activity,,,0,0.0,,,,,,,0.0,0.0
ckb1qrlh3whq40ch67jqfs97p7ddnjgctvlc3hxxqsp5202m4rslyt6n5qh3068szf235yxw9c3px3rzgxkxnf2ynq7ys5kam9r42sn5a2x845q7rg9y,active,Human-like / Daytime,0.0,1.0,2,0.0027397260273972,0.0076047411159966,,,,-0.0,0.3562071871080222,22740.99939502,22500.0
ckb1qrlh3whq40ch67jqfs97p7ddnjgctvlc3hxxqsp5202m4rslyt6n5qn0ta0jq68jgwzvzpy82w8sugs9cvvza3fz0flwr67avv068nsst5uevzjl,active,Human-like / Daytime,0.0,1.0,2,0.0027397260273972,0.0076047588538889,,,,-0.0,0.3562071871080222,1438.99939502,1200.0
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0259kv0x5jez6h0l5qr52k64weapapgyscsnmhn,unused,Dormant / No Activity,,,0,0.0,1262.191512293921,68.45332330282386,1.0328806845460774,0.0161744291221987,0.9998985238040804,0.9991205275476552,581556.13820991,0.0
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02lstf96jmmavf7uln9acpkedt2clz3tqc6chk8,active,Bot-like / Consistent,1.0,1.0,106,0.1452054794520547,1.9841534633859728,43959.73333333333,1.2685963044431303,0.1183975764736434,0.955034963325468,0.9765578184980128,442123.40464852,899515.5787385397
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq02rtsalknt9nezey405ay2gek8v5x0ncc3fd62k,active,Bot-like / Consistent,1.0,1.0,752,1.03013698630137,1.7947043889887409,48205.73635153129,2.108185992686797,0.3565378633370817,0.0287839207520705,0.9999564647244524,858507.34128346,858565.50145292
