capacity__mean_target_input_capacity_shannon,capacity__mean_target_output_capacity_shannon,capacity__median_abs_target_delta_shannon,capacity__target_input_capacity_shannon,capacity__target_net_capacity_delta_shannon,capacity__target_output_capacity_shannon,rule__BATCH_DISTRIBUTION__score,rule__FAN_IN_COLLECTION__score,rule__PERIODIC_EXECUTION__score,scripts__cells_with_full_script,scripts__total_cells,templates__dominant_template_ratio,templates__template_entropy,templates__template_repeat_ratio,templates__template_transition_entropy,templates__unique_template_count,temporal__active_hour_entropy,temporal__active_weekday_entropy,temporal__burstiness,temporal__dominant_period_seconds,temporal__interarrival_cv,temporal__interarrival_mean_seconds,temporal__interarrival_median_seconds,temporal__interarrival_std_seconds,temporal__interval_repeat_ratio,temporal__n_observed_transactions,temporal__periodicity_strength,temporal__phase_stability,topology__cell_consolidation_ratio,topology__cell_fragmentation_ratio,topology__fanin_transaction_ratio,topology__fanout_transaction_ratio,topology__many_to_many_ratio,topology__max_input_cells_per_tx,topology__max_output_cells_per_tx,topology__mean_external_input_locks,topology__mean_external_output_locks,topology__mean_input_cells_per_tx,topology__mean_output_cells_per_tx,topology__topology_entropy,topology__topology_repeat_ratio,transaction_count_30d
301553305306.625,296978291068.25,6100001830.0,4824852884906,-73200227814,4751652657092,0.6666666666666666,0.3333333333333333,0.0,0,55,0.75,1.311278124459133,0.75,1.6922718656836104,5,0.6712856496930305,0.9459577203309796,-0.29527705703437973,134967,0.5440712001640242,143093.93333333332,134967,77853.28804485753,0.06666666666666667,16,0.6719600163406032,0.09829514050030619,0.0625,0.8125,0.0,0.9375,0.0,7,2,0.0625,1,1.4375,2,0.4966963645051813,0.8125,16
747924066529.8,741824064696.3334,6100001830.0,22437721995894,-183000055004,22254721940890,0.6666666666666666,0.3333333333333333,1.0,0,92,0.4666666666666667,2.73012496531497,0.8666666666666667,4.2541956501507805,11,0.3536073474269914,0.9972309552488496,-0.88511484280829,86392,0.06094332004758049,87024.75862068965,86392,5303.577716684129,0.8275862068965517,30,0.978870283618958,0.9626492080097322,0.0,0.9333333333333333,0.0,1.0,0.0,2,2,0,1,1.0666666666666667,2,0.35335933502142136,0.9333333333333333,30
1000200000000,0,1000200000000,1000200000000,-1000200000000,0,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4377236601,4377236601,8754473202.0,131317098030,0,131317098030,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,60,0.5,1.0,1.0,0.9991421039919088,2,0.6720216208278665,0.9972309552488496,-0.7518804122776293,88355,0.14163043663453564,86444.79310344828,88355,12243.213792023475,0.41379310344827586,30,0.9310003080045386,0.4537189118932207,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.5,1,1,1.0,0.5,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48716770482750.766,41141456681849.766,10012347894,633318016275760,-98479079411713,534838936864047,0.0,0.0,0.0,3,44,0.15384615384615385,3.546593564294939,0.15384615384615385,3.584962500721156,12,0.5116403872374721,0.27761001331490837,0.3639997505762631,1516.0,2.1446528547939208,50982.666666666664,1516.0,109340.12161167353,0.0,13,0.37858825283202735,0.26731337201952027,0.15384615384615385,0.3076923076923077,0.0,0.46153846153846156,0.0,4,2,0.38461538461538464,0.7692307692307693,1.5384615384615385,1.8461538461538463,0.9064315085556598,0.3076923076923077,13
997527937650.5,999851715031.6875,58238.5,15960447002408,37180438099,15997627440507,0.0,0.0,0.0,21,53,0.4375,2.771782221599798,0.4375,3.589898095464288,10,0.5416529781767536,0.5975095171079853,0.12809416721413233,31753.5,1.2938256917145572,166512.5,31753.5,215438.1504916202,0.0,16,0.36825616192682603,0.2679206614495439,0.125,0.0,0.0,0.0,0.0,4,2,0,0,1.75,1.5625,0.7717822215997981,0.4375,16
80780033414.51613,77554225080.58064,1884,2504181035850,-100000058352,2404180977498,0.3333333333333333,0.3333333333333333,1.0,0,123,0.25806451612903225,2.7231879407504183,0.8709677419354839,3.4662478973127313,9,0.07527156762801669,0.9968189734696425,-0.6853267934269635,86333.0,0.1867134657802338,83513.83333333333,86333.0,15593.15726225948,0.9,31,0.9927752317803419,0.9927725494368879,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,2,2,0,0.03225806451612903,1.967741935483871,2,0.25844992786316917,0.9354838709677419,31
19899999992586,4899699990704,15000300001882,19899999992586,-15000300001882,4899699990704,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
884366630354.6666,666799998852.6666,1000199998279,2653099891064,-652699894506,2000399996558,0.0,0.3333333333333333,,0,8,0.3333333333333333,1.584962500721156,0.0,1.0,3,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3,1,0.6666666666666666,0.3333333333333333,1.6666666666666667,1,0.9182958340544896,0.6666666666666666,3
