address,collection_state,evidence_state,attempt_count,last_attempt_at,last_successful_stage,last_error,last_error_type,last_http_status,failure_scope,sampling_stratum,lifetime_tx_count,failure_category,recommendation
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0vyjg39dcl6hxdetwjsxdq5ufn94dm9yc6rdshs,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:35:20.386888+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0vyjg39dcl6hxdetwjsxdq5ufn94dm9yc6rdshs: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0vzwrhe2aznrvkq00r477dpzmzdfptfvgt9xx9u,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:37:06.561665+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0vzwrhe2aznrvkq00r477dpzmzdfptfvgt9xx9u: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,1001-5000,1498,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq25ekf709e7prrq548fkhmqdpr0lp56sjquw2a9v,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:47:32.985681+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq25ekf709e7prrq548fkhmqdpr0lp56sjquw2a9v: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq28mnlmvrj32s9m5vgk0r775zxtf2r2dusrj666v,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:51:33.747302+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq28mnlmvrj32s9m5vgk0r775zxtf2r2dusrj666v: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2avwaksfsgf3ths5hjh5sl4ema0pazc6q48umuh,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:54:13.941992+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2avwaksfsgf3ths5hjh5sl4ema0pazc6q48umuh: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,1001-5000,1614,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2euh7k90hhj7v75y8kjxlm0qgtg8pdxjqqktt4m,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T01:59:13.954908+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2euh7k90hhj7v75y8kjxlm0qgtg8pdxjqqktt4m: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2hh36z6qmk3vjqha2lv9vykuxwexsaazqx40dhd,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:02:19.172046+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2hh36z6qmk3vjqha2lv9vykuxwexsaazqx40dhd: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2k3fxq87k84uvjlx93f6kjgfllm0uasqge8xsjk,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:04:21.569479+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2k3fxq87k84uvjlx93f6kjgfllm0uasqge8xsjk: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2k7w0yl67ft05fyk4qrjfx3gfemp25pcsvpyj40,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:06:07.510015+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2k7w0yl67ft05fyk4qrjfx3gfemp25pcsvpyj40: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2n7pqmhqlygzfhe9y2pfegeeqzlgkvfkqkaaams,FAILED_RETRY_EXHAUSTED,PARTIAL,1,2026-09-01T02:11:08.191066+00:00,OBSERVATION_PARTIAL,Explorer /address_transactions/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2n7pqmhqlygzfhe9y2pfegeeqzlgkvfkqkaaams: The read operation timed out,EXPLORER_TIMEOUT,,WALLET,unknown,,Explorer timeout/service,RETRY_LATER
